timestamp,session_id,activity,left_ear,right_ear,average_ear
0.051,paper_001,paper_study,0.21453,0.27443,0.24448
0.211,paper_001,paper_study,0.23373,0.26065,0.24719
0.281,paper_001,paper_study,0.2341,0.23565,0.23487
0.346,paper_001,paper_study,0.22803,0.24603,0.23703
0.41,paper_001,paper_study,0.23262,0.26292,0.24777
0.443,paper_001,paper_study,0.23902,0.26368,0.25135
0.476,paper_001,paper_study,0.23157,0.26078,0.24617
0.509,paper_001,paper_study,0.23111,0.26835,0.24973
0.542,paper_001,paper_study,0.23469,0.26894,0.25181
0.609,paper_001,paper_study,0.2364,0.29503,0.26572
0.641,paper_001,paper_study,0.25082,0.30244,0.27663
0.675,paper_001,paper_study,0.25615,0.28318,0.26967
0.708,paper_001,paper_study,0.25933,0.30246,0.28089
0.741,paper_001,paper_study,0.25672,0.30141,0.27906
0.775,paper_001,paper_study,0.26078,0.31269,0.28674
0.822,paper_001,paper_study,0.26563,0.32745,0.29654
0.876,paper_001,paper_study,0.26119,0.3144,0.2878
0.909,paper_001,paper_study,0.26838,0.32935,0.29886
0.942,paper_001,paper_study,0.27069,0.30473,0.28771
0.976,paper_001,paper_study,0.27426,0.30662,0.29044
1.01,paper_001,paper_study,0.28293,0.31623,0.29958
1.044,paper_001,paper_study,0.28155,0.29896,0.29026
1.076,paper_001,paper_study,0.26279,0.30555,0.28417
1.11,paper_001,paper_study,0.2649,0.29056,0.27773
1.143,paper_001,paper_study,0.26757,0.28596,0.27676
1.176,paper_001,paper_study,0.2674,0.29019,0.2788
1.211,paper_001,paper_study,0.2647,0.29519,0.27995
1.276,paper_001,paper_study,0.27349,0.31252,0.29301
1.31,paper_001,paper_study,0.26663,0.27989,0.27326
1.381,paper_001,paper_study,0.2553,0.26509,0.2602
1.445,paper_001,paper_study,0.23039,0.26202,0.24621
1.511,paper_001,paper_study,0.24284,0.26229,0.25256
1.544,paper_001,paper_study,0.2544,0.25163,0.25301
1.576,paper_001,paper_study,0.24951,0.25453,0.25202
1.61,paper_001,paper_study,0.24089,0.25881,0.24985
1.643,paper_001,paper_study,0.22538,0.26438,0.24488
1.677,paper_001,paper_study,0.22909,0.26566,0.24737
1.71,paper_001,paper_study,0.22724,0.27705,0.25215
1.744,paper_001,paper_study,0.23872,0.26383,0.25127
1.776,paper_001,paper_study,0.2508,0.26574,0.25827
1.81,paper_001,paper_study,0.24788,0.2806,0.26424
1.843,paper_001,paper_study,0.24683,0.26802,0.25743
1.877,paper_001,paper_study,0.24217,0.27397,0.25807
1.909,paper_001,paper_study,0.24214,0.27213,0.25714
1.943,paper_001,paper_study,0.26084,0.26031,0.26057
1.977,paper_001,paper_study,0.26421,0.25997,0.26209
2.011,paper_001,paper_study,0.26416,0.2831,0.27363
2.044,paper_001,paper_study,0.24287,0.29191,0.26739
2.083,paper_001,paper_study,0.24074,0.27279,0.25676
2.147,paper_001,paper_study,0.2401,0.26998,0.25504
2.21,paper_001,paper_study,0.24374,0.25603,0.24989
2.243,paper_001,paper_study,0.24668,0.26712,0.2569
2.277,paper_001,paper_study,0.24887,0.2659,0.25738
2.344,paper_001,paper_study,0.25116,0.2807,0.26593
2.409,paper_001,paper_study,0.23174,0.2723,0.25202
2.443,paper_001,paper_study,0.22395,0.27369,0.24882
2.477,paper_001,paper_study,0.23207,0.27727,0.25467
2.509,paper_001,paper_study,0.24471,0.27562,0.26017
2.543,paper_001,paper_study,0.23426,0.26034,0.2473
2.577,paper_001,paper_study,0.22939,0.26319,0.24629
2.61,paper_001,paper_study,0.23315,0.25959,0.24637
2.643,paper_001,paper_study,0.23229,0.26956,0.25093
2.677,paper_001,paper_study,0.23853,0.28161,0.26007
2.71,paper_001,paper_study,0.24112,0.27301,0.25706
2.743,paper_001,paper_study,0.24795,0.27559,0.26177
2.777,paper_001,paper_study,0.24981,0.26989,0.25985
2.811,paper_001,paper_study,0.2515,0.27745,0.26447
2.844,paper_001,paper_study,0.24693,0.26683,0.25688
2.878,paper_001,paper_study,0.23435,0.26926,0.2518
2.91,paper_001,paper_study,0.2367,0.26243,0.24956
2.944,paper_001,paper_study,0.23263,0.26727,0.24995
2.978,paper_001,paper_study,0.24674,0.2797,0.26322
3.011,paper_001,paper_study,0.24445,0.27565,0.26005
3.044,paper_001,paper_study,0.25807,0.28274,0.27041
3.079,paper_001,paper_study,0.23552,0.26283,0.24917
3.111,paper_001,paper_study,0.23929,0.25972,0.2495
3.143,paper_001,paper_study,0.25831,0.28076,0.26954
3.178,paper_001,paper_study,0.26344,0.28466,0.27405
3.211,paper_001,paper_study,0.26738,0.31049,0.28894
3.243,paper_001,paper_study,0.28142,0.32146,0.30144
3.278,paper_001,paper_study,0.27773,0.3111,0.29441
3.311,paper_001,paper_study,0.28205,0.32583,0.30394
3.345,paper_001,paper_study,0.27133,0.30844,0.28989
3.377,paper_001,paper_study,0.2811,0.31209,0.2966
3.412,paper_001,paper_study,0.28748,0.30633,0.29691
3.444,paper_001,paper_study,0.29305,0.30583,0.29944
3.477,paper_001,paper_study,0.29371,0.307,0.30036
3.511,paper_001,paper_study,0.28585,0.3118,0.29883
3.544,paper_001,paper_study,0.28571,0.3158,0.30076
3.578,paper_001,paper_study,0.28192,0.31653,0.29922
3.61,paper_001,paper_study,0.28465,0.31887,0.30176
3.644,paper_001,paper_study,0.29145,0.31924,0.30534
3.678,paper_001,paper_study,0.28324,0.31874,0.30099
3.711,paper_001,paper_study,0.27993,0.31201,0.29597
3.744,paper_001,paper_study,0.27134,0.3154,0.29337
3.778,paper_001,paper_study,0.27886,0.31196,0.29541
3.812,paper_001,paper_study,0.28342,0.31682,0.30012
3.844,paper_001,paper_study,0.28166,0.3138,0.29773
3.878,paper_001,paper_study,0.28558,0.31256,0.29907
3.91,paper_001,paper_study,0.28634,0.31922,0.30278
3.944,paper_001,paper_study,0.28119,0.30958,0.29539
3.977,paper_001,paper_study,0.28083,0.30254,0.29169
4.01,paper_001,paper_study,0.27975,0.31326,0.29651
4.045,paper_001,paper_study,0.27362,0.30843,0.29103
4.077,paper_001,paper_study,0.28068,0.30741,0.29404
4.111,paper_001,paper_study,0.26395,0.29303,0.27849
4.146,paper_001,paper_study,0.26286,0.27376,0.26831
4.177,paper_001,paper_study,0.25616,0.28193,0.26904
4.211,paper_001,paper_study,0.25185,0.28156,0.26671
4.244,paper_001,paper_study,0.25384,0.29187,0.27286
4.277,paper_001,paper_study,0.25779,0.28608,0.27193
4.311,paper_001,paper_study,0.26877,0.27819,0.27348
4.344,paper_001,paper_study,0.26012,0.28075,0.27043
4.378,paper_001,paper_study,0.26846,0.277,0.27273
4.411,paper_001,paper_study,0.26683,0.27211,0.26947
4.444,paper_001,paper_study,0.24818,0.27758,0.26288
4.479,paper_001,paper_study,0.25748,0.29614,0.27681
4.511,paper_001,paper_study,0.26292,0.29549,0.27921
4.545,paper_001,paper_study,0.27348,0.30613,0.28981
4.578,paper_001,paper_study,0.26914,0.30625,0.2877
4.613,paper_001,paper_study,0.26941,0.30211,0.28576
4.645,paper_001,paper_study,0.27708,0.29575,0.28641
4.678,paper_001,paper_study,0.27417,0.28836,0.28127
4.712,paper_001,paper_study,0.28177,0.30491,0.29334
4.745,paper_001,paper_study,0.2846,0.31252,0.29856
4.778,paper_001,paper_study,0.27648,0.30527,0.29088
4.812,paper_001,paper_study,0.27445,0.31889,0.29667
4.845,paper_001,paper_study,0.2822,0.33497,0.30858
4.879,paper_001,paper_study,0.28157,0.32102,0.3013
4.911,paper_001,paper_study,0.27843,0.31457,0.2965
4.944,paper_001,paper_study,0.27217,0.30247,0.28732
4.979,paper_001,paper_study,0.28884,0.32525,0.30705
5.012,paper_001,paper_study,0.25208,0.31415,0.28312
5.044,paper_001,paper_study,0.23049,0.24101,0.23575
5.077,paper_001,paper_study,0.04556,0.15415,0.09986
5.111,paper_001,paper_study,0.02524,0.04081,0.03303
5.146,paper_001,paper_study,0.04792,0.06408,0.056
5.178,paper_001,paper_study,0.03733,0.06249,0.04991
5.212,paper_001,paper_study,0.05413,0.06895,0.06154
5.244,paper_001,paper_study,0.06696,0.07796,0.07246
5.279,paper_001,paper_study,0.05926,0.15437,0.10681
5.312,paper_001,paper_study,0.04936,0.13966,0.09451
5.346,paper_001,paper_study,0.05295,0.16492,0.10894
5.377,paper_001,paper_study,0.04458,0.12463,0.08461
5.412,paper_001,paper_study,0.06073,0.1455,0.10311
5.445,paper_001,paper_study,0.06063,0.13973,0.10018
5.478,paper_001,paper_study,0.0558,0.15886,0.10733
5.512,paper_001,paper_study,0.06062,0.14289,0.10175
5.545,paper_001,paper_study,0.06227,0.11724,0.08975
5.577,paper_001,paper_study,0.06485,0.14154,0.1032
5.611,paper_001,paper_study,0.0635,0.13764,0.10057
5.644,paper_001,paper_study,0.06781,0.14059,0.1042
5.679,paper_001,paper_study,0.07202,0.14174,0.10688
5.712,paper_001,paper_study,0.07081,0.12642,0.09861
5.744,paper_001,paper_study,0.0741,0.14399,0.10905
5.778,paper_001,paper_study,0.0795,0.13745,0.10848
5.811,paper_001,paper_study,0.07966,0.12176,0.10071
5.845,paper_001,paper_study,0.07463,0.1574,0.11602
5.878,paper_001,paper_study,0.0775,0.13129,0.1044
5.912,paper_001,paper_study,0.0795,0.15234,0.11592
5.945,paper_001,paper_study,0.08182,0.15381,0.11782
5.978,paper_001,paper_study,0.09027,0.16736,0.12881
6.011,paper_001,paper_study,0.09019,0.1128,0.10149
6.044,paper_001,paper_study,0.08211,0.15647,0.11929
6.078,paper_001,paper_study,0.08494,0.15177,0.11836
6.111,paper_001,paper_study,0.0883,0.14343,0.11587
6.146,paper_001,paper_study,0.07944,0.12507,0.10226
6.179,paper_001,paper_study,0.0744,0.12816,0.10128
6.212,paper_001,paper_study,0.0747,0.16092,0.11781
6.245,paper_001,paper_study,0.07121,0.14549,0.10835
6.278,paper_001,paper_study,0.09092,0.1509,0.12091
6.312,paper_001,paper_study,0.08947,0.13473,0.1121
6.345,paper_001,paper_study,0.07578,0.13628,0.10603
6.378,paper_001,paper_study,0.08645,0.12408,0.10526
6.411,paper_001,paper_study,0.07198,0.11891,0.09545
6.445,paper_001,paper_study,0.08806,0.16749,0.12778
6.478,paper_001,paper_study,0.06716,0.11483,0.091
6.511,paper_001,paper_study,0.08429,0.14493,0.11461
6.545,paper_001,paper_study,0.08155,0.10915,0.09535
6.578,paper_001,paper_study,0.07708,0.1177,0.09739
6.612,paper_001,paper_study,0.07582,0.12659,0.1012
6.645,paper_001,paper_study,0.07313,0.12289,0.09801
6.679,paper_001,paper_study,0.06848,0.12154,0.09501
6.712,paper_001,paper_study,0.07685,0.11275,0.0948
6.745,paper_001,paper_study,0.07672,0.12667,0.1017
6.778,paper_001,paper_study,0.07278,0.13471,0.10375
6.812,paper_001,paper_study,0.0683,0.13407,0.10119
6.844,paper_001,paper_study,0.07786,0.1315,0.10468
6.879,paper_001,paper_study,0.07754,0.11901,0.09827
6.913,paper_001,paper_study,0.07035,0.12125,0.0958
6.946,paper_001,paper_study,0.06246,0.12731,0.09488
6.978,paper_001,paper_study,0.06535,0.13061,0.09798
7.012,paper_001,paper_study,0.06383,0.12317,0.0935
7.045,paper_001,paper_study,0.05962,0.12543,0.09252
7.079,paper_001,paper_study,0.05826,0.13143,0.09484
7.112,paper_001,paper_study,0.05586,0.12084,0.08835
7.145,paper_001,paper_study,0.05714,0.11913,0.08813
7.178,paper_001,paper_study,0.05513,0.12991,0.09252
7.212,paper_001,paper_study,0.0561,0.12663,0.09136
7.245,paper_001,paper_study,0.06321,0.13715,0.10018
7.278,paper_001,paper_study,0.06622,0.1307,0.09846
7.312,paper_001,paper_study,0.06703,0.12837,0.0977
7.346,paper_001,paper_study,0.06411,0.12631,0.09521
7.379,paper_001,paper_study,0.06278,0.12759,0.09519
7.412,paper_001,paper_study,0.06278,0.13048,0.09663
7.445,paper_001,paper_study,0.06197,0.12351,0.09274
7.479,paper_001,paper_study,0.05911,0.12322,0.09117
7.512,paper_001,paper_study,0.06216,0.1345,0.09833
7.546,paper_001,paper_study,0.06747,0.13244,0.09996
7.579,paper_001,paper_study,0.07003,0.137,0.10352
7.612,paper_001,paper_study,0.06636,0.13191,0.09913
7.645,paper_001,paper_study,0.0688,0.12774,0.09827
7.678,paper_001,paper_study,0.06847,0.12947,0.09897
7.712,paper_001,paper_study,0.06349,0.1287,0.09609
7.746,paper_001,paper_study,0.0643,0.12551,0.0949
7.779,paper_001,paper_study,0.06797,0.12401,0.09599
7.812,paper_001,paper_study,0.0663,0.12342,0.09486
7.846,paper_001,paper_study,0.06813,0.11871,0.09342
7.879,paper_001,paper_study,0.06421,0.12392,0.09406
7.912,paper_001,paper_study,0.06821,0.12524,0.09673
7.946,paper_001,paper_study,0.06497,0.12719,0.09608
7.979,paper_001,paper_study,0.06823,0.12584,0.09703
8.013,paper_001,paper_study,0.06728,0.13332,0.1003
8.046,paper_001,paper_study,0.06845,0.15718,0.11282
8.079,paper_001,paper_study,0.06799,0.13804,0.10301
8.112,paper_001,paper_study,0.06719,0.12973,0.09846
8.146,paper_001,paper_study,0.06542,0.12734,0.09638
8.18,paper_001,paper_study,0.06388,0.13121,0.09754
8.213,paper_001,paper_study,0.06145,0.13537,0.09841
8.246,paper_001,paper_study,0.06258,0.13307,0.09782
8.279,paper_001,paper_study,0.06406,0.13849,0.10128
8.313,paper_001,paper_study,0.05952,0.124,0.09176
8.346,paper_001,paper_study,0.06137,0.12874,0.09506
8.379,paper_001,paper_study,0.0626,0.11533,0.08896
8.413,paper_001,paper_study,0.06242,0.1253,0.09386
8.446,paper_001,paper_study,0.0576,0.09705,0.07732
8.479,paper_001,paper_study,0.06469,0.10237,0.08353
8.513,paper_001,paper_study,0.06634,0.08655,0.07644
8.546,paper_001,paper_study,0.0641,0.08831,0.07621
8.579,paper_001,paper_study,0.16365,0.19533,0.17949
8.612,paper_001,paper_study,0.24671,0.31524,0.28098
8.646,paper_001,paper_study,0.27901,0.30475,0.29188
8.68,paper_001,paper_study,0.25391,0.32569,0.2898
8.713,paper_001,paper_study,0.29611,0.3221,0.30911
8.746,paper_001,paper_study,0.28648,0.32649,0.30648
8.779,paper_001,paper_study,0.30046,0.36567,0.33306
8.812,paper_001,paper_study,0.31938,0.36927,0.34432
8.846,paper_001,paper_study,0.30751,0.34594,0.32672
8.88,paper_001,paper_study,0.31442,0.35309,0.33376
8.913,paper_001,paper_study,0.31032,0.36403,0.33718
8.946,paper_001,paper_study,0.33052,0.36331,0.34692
8.98,paper_001,paper_study,0.30974,0.36462,0.33718
